"","PSID","Gene","Module"
"IL12RB1","IL12RB1","IL12RB1","MsAge7K_01"
"DNALI1","DNALI1","DNALI1","MsAge7K_14"
"DNAH10","DNAH10","DNAH10","MsAge7K_14"
"NEUROG2","NEUROG2","NEUROG2","MsAge7K_01"
"MOBP","MOBP","MOBP","MsAge7K_01"
"MYO3B","MYO3B","MYO3B","MsAge7K_00"
"RSPO1","RSPO1","RSPO1","MsAge7K_00"
"PAPLN","PAPLN","PAPLN","MsAge7K_00"
"RTP1","RTP1","RTP1","MsAge7K_00"
"CLDN11","CLDN11","CLDN11","MsAge7K_01"
"ZNF804B","ZNF804B","ZNF804B","MsAge7K_08"
"PI16","PI16","PI16","MsAge7K_00"
"AK7","AK7","AK7","MsAge7K_14"
"SGK1","SGK1","SGK1","MsAge7K_00"
"EFCAB13","EFCAB13","EFCAB13","MsAge7K_00"
"MGMT","MGMT","MGMT","MsAge7K_00"
"CHRM5","CHRM5","CHRM5","MsAge7K_00"
"SLITRK6","SLITRK6","SLITRK6","MsAge7K_00"
"SLC15A2","SLC15A2","SLC15A2","MsAge7K_00"
"OSR1","OSR1","OSR1","MsAge7K_07"
"FAT2","FAT2","FAT2","MsAge7K_00"
"SHOX2","SHOX2","SHOX2","MsAge7K_00"
"KLF5","KLF5","KLF5","MsAge7K_02"
"GKN3P","GKN3P","GKN3P","MsAge7K_00"
"CLDN1","CLDN1","CLDN1","MsAge7K_00"
"ANGPTL4","ANGPTL4","ANGPTL4","MsAge7K_00"
"RASSF10","RASSF10","RASSF10","MsAge7K_01"
"LHX1","LHX1","LHX1","MsAge7K_06"
"NPBWR1","NPBWR1","NPBWR1","MsAge7K_00"
"STYK1","STYK1","STYK1","MsAge7K_00"
"RECQL4","RECQL4","RECQL4","MsAge7K_00"
"GALR2","GALR2","GALR2","MsAge7K_00"
"DDX60","DDX60","DDX60","MsAge7K_04"
"ICAM1","ICAM1","ICAM1","MsAge7K_00"
"ANXA1","ANXA1","ANXA1","MsAge7K_00"
"CYP1B1","CYP1B1","CYP1B1","MsAge7K_07"
"L3MBTL4","L3MBTL4","L3MBTL4","MsAge7K_00"
"DMGDH","DMGDH","DMGDH","MsAge7K_02"
"SLC5A7","SLC5A7","SLC5A7","MsAge7K_06"
"ENDOU","ENDOU","ENDOU","MsAge7K_00"
"NNMT","NNMT","NNMT","MsAge7K_00"
"LGALS3","LGALS3","LGALS3","MsAge7K_00"
"C3AR1","C3AR1","C3AR1","MsAge7K_04"
