"","Module","Gene"
"CHST3","MsAge7K_01","CHST3"
"FSIP1","MsAge7K_00","FSIP1"
"REEP3","MsAge7K_00","REEP3"
"TAP1","MsAge7K_04","TAP1"
"TCAF2","MsAge7K_00","TCAF2"
"TCAF2C","MsAge7K_00","TCAF2C"
"UNC5CL","MsAge7K_00","UNC5CL"
"ESR1","MsAge7K_05","ESR1"
"TTF2","MsAge7K_00","TTF2"
"SNAI2","MsAge7K_00","SNAI2"
"UPK1A","MsAge7K_00","UPK1A"
"OCA2","MsAge7K_00","OCA2"
"C5AR2","MsAge7K_00","C5AR2"
"NID1","MsAge7K_00","NID1"
"NLRC5","MsAge7K_00","NLRC5"
"CPED1","MsAge7K_07","CPED1"
"SNORD104","MsAge7K_00","SNORD104"
"NEIL3","MsAge7K_00","NEIL3"
"OAS2","MsAge7K_04","OAS2"
"RTL3","MsAge7K_00","RTL3"
"KIF19","MsAge7K_01","KIF19"
"TMEM91","MsAge7K_00","TMEM91"
"KIF11","MsAge7K_00","KIF11"
"GABRE","MsAge7K_00","GABRE"
"KRT2","MsAge7K_00","KRT2"
"GRB7","MsAge7K_02","GRB7"
"SLC6A20","MsAge7K_07","SLC6A20"
"ACP7","MsAge7K_05","ACP7"
"C7","MsAge7K_00","C7"
"THBS1","MsAge7K_00","THBS1"
"FHOD3","MsAge7K_02","FHOD3"
"TMEM102","MsAge7K_00","TMEM102"
"TBX18","MsAge7K_07","TBX18"
"TMEM267","MsAge7K_00","TMEM267"
"PLP1","MsAge7K_01","PLP1"
"FAM47E","MsAge7K_00","FAM47E"
"FAM47E-STBD1","MsAge7K_00","FAM47E-STBD1"
"LSP1","MsAge7K_04","LSP1"
"C2orf73","MsAge7K_00","C2orf73"
"DAPK2","MsAge7K_00","DAPK2"
"RASSF6","MsAge7K_00","RASSF6"
"CDKN1A","MsAge7K_00","CDKN1A"
"HMGCS2","MsAge7K_00","HMGCS2"
"SPSB2","MsAge7K_00","SPSB2"
"SERPING1","MsAge7K_07","SERPING1"
"CARD14","MsAge7K_00","CARD14"
"ARPC1B","MsAge7K_01","ARPC1B"
"ASB14","MsAge7K_00","ASB14"
"SLCO4A1","MsAge7K_00","SLCO4A1"
"C17orf97","MsAge7K_00","C17orf97"
"SLC4A11","MsAge7K_00","SLC4A11"
"AOC3","MsAge7K_00","AOC3"
"KBTBD6","MsAge7K_00","KBTBD6"
"KBTBD7","MsAge7K_00","KBTBD7"
"CACNA2D4","MsAge7K_01","CACNA2D4"
"BCL6B","MsAge7K_00","BCL6B"
"GLRA3","MsAge7K_02","GLRA3"
"PARP14","MsAge7K_04","PARP14"
"CRH","MsAge7K_00","CRH"
"BTG2","MsAge7K_13","BTG2"
"FBLN2","MsAge7K_00","FBLN2"
"RANBP3L","MsAge7K_07","RANBP3L"
"RAD51AP2","MsAge7K_00","RAD51AP2"
"PTAR1","MsAge7K_03","PTAR1"
"LIPH","MsAge7K_00","LIPH"
"RGS22","MsAge7K_06","RGS22"
"ALOX5","MsAge7K_00","ALOX5"
"OR10H4","MsAge7K_00","OR10H4"
"OR10H3","MsAge7K_00","OR10H3"
"NHLH2","MsAge7K_01","NHLH2"
"PNPLA1","MsAge7K_00","PNPLA1"
"EXOC3L4","MsAge7K_00","EXOC3L4"
"ACR","MsAge7K_00","ACR"
"C2","MsAge7K_00","C2"
"ALDH3B2","MsAge7K_00","ALDH3B2"
"TBX6","MsAge7K_00","TBX6"
"OR10H1","MsAge7K_00","OR10H1"
"OR10H5","MsAge7K_00","OR10H5"
"OR10H2","MsAge7K_00","OR10H2"
"AK8","MsAge7K_00","AK8"
"MOG","MsAge7K_01","MOG"
"REC8","MsAge7K_00","REC8"
"SHCBP1","MsAge7K_00","SHCBP1"
"CCDC187","MsAge7K_06","CCDC187"
"NXPH4","MsAge7K_00","NXPH4"
