nodeName	altName	nodeAttr.nodesPresent...
DOK1	DOK1	NA
TNFAIP3	TNFAIP3	NA
CSF2RB	CSF2RB	NA
DBP	DBP	NA
RSF1	RSF1	NA
COL9A2	COL9A2	NA
IRF9	IRF9	NA
TGFB3	TGFB3	NA
TMC2	TMC2	NA
C1QA	C1QA	NA
LRRC23	LRRC23	NA
LAMC3	LAMC3	NA
ASPA	ASPA	NA
CFAP206	CFAP206	NA
MEGF6	MEGF6	NA
GNG4	GNG4	NA
MRGPRF	MRGPRF	NA
DACT1	DACT1	NA
PRRG1	PRRG1	NA
GSG1L	GSG1L	NA
FOXJ1	FOXJ1	NA
HCRTR1	HCRTR1	NA
SLC26A10	SLC26A10	NA
SMIM3	SMIM3	NA
SLCO1B7	SLCO1B7	NA
SLCO1B3	SLCO1B3	NA
SLCO1B1	SLCO1B1	NA
SSTR1	SSTR1	NA
TMEM106A	TMEM106A	NA
MSH5-SAPCD1	MSH5-SAPCD1	NA
MSH5	MSH5	NA
TOX	TOX	NA
NFATC1	NFATC1	NA
DDX11	DDX11	NA
OXTR	OXTR	NA
ROBO3	ROBO3	NA
CDH7	CDH7	NA
ANXA2	ANXA2	NA
ESPN	ESPN	NA
MOB3B	MOB3B	NA
RSPH1	RSPH1	NA
QDPR	QDPR	NA
RTBDN	RTBDN	NA
FA2H	FA2H	NA
HERC6	HERC6	NA
FERMT3	FERMT3	NA
TRIB1	TRIB1	NA
CSF3R	CSF3R	NA
RENBP	RENBP	NA
ITPR3	ITPR3	NA
FHIT	FHIT	NA
SLC7A11	SLC7A11	NA
CCDC40	CCDC40	NA
CENPQ	CENPQ	NA
NPAS3	NPAS3	NA
TPPP3	TPPP3	NA
APOBEC3H	APOBEC3H	NA
AIF1	AIF1	NA
ARRDC2	ARRDC2	NA
CNN2	CNN2	NA
GRP	GRP	NA
MREG	MREG	NA
SOCS3	SOCS3	NA
ZNF488	ZNF488	NA
COPZ2	COPZ2	NA
GNG13	GNG13	NA
KRT77	KRT77	NA
TNFAIP6	TNFAIP6	NA
TIFAB	TIFAB	NA
CDK15	CDK15	NA
TMIGD3	TMIGD3	NA
DUSP5	DUSP5	NA
ADORA2B	ADORA2B	NA
PDE6H	PDE6H	NA
ITGB3	ITGB3	NA
PRSS50	PRSS50	NA
CDH18	CDH18	NA
CPNE2	CPNE2	NA
CARNS1	CARNS1	NA
MPEG1	MPEG1	NA
GRM8	GRM8	NA
SRPX2	SRPX2	NA
ZFP57	ZFP57	NA
APOL4	APOL4	NA
APOL2	APOL2	NA
APOL1	APOL1	NA
SH3TC2	SH3TC2	NA
TIPARP	TIPARP	NA
CMBL	CMBL	NA
FAM222A	FAM222A	NA
ALOX5AP	ALOX5AP	NA
TSPO	TSPO	NA
TRPV6	TRPV6	NA
ATP8B1	ATP8B1	NA
MRVI1	MRVI1	NA
SLC5A5	SLC5A5	NA
NRROS	NRROS	NA
ALDH1L2	ALDH1L2	NA
HPDL	HPDL	NA
LRRC55	LRRC55	NA
CDH23	CDH23	NA
KCTD16	KCTD16	NA
GXYLT2	GXYLT2	NA
TMEM117	TMEM117	NA
GAL3ST1	GAL3ST1	NA
KLHDC7B	KLHDC7B	NA
EIF2S3	EIF2S3	NA
EIF2S3B	EIF2S3B	NA
PLAGL1	PLAGL1	NA
PMP22	PMP22	NA
MEF2C	MEF2C	NA
KIAA1210	KIAA1210	NA
CP	CP	NA
CPNE9	CPNE9	NA
TRIM66	TRIM66	NA
GATA2	GATA2	NA
PARP10	PARP10	NA
BIN2	BIN2	NA
C4orf54	C4orf54	NA
GNB4	GNB4	NA
CIITA	CIITA	NA
SHROOM3	SHROOM3	NA
CARHSP1	CARHSP1	NA
RASA4B	RASA4B	NA
RASA4	RASA4	NA
ECM1	ECM1	NA
KLC3	KLC3	NA
SSX2B	SSX2B	NA
SSX7	SSX7	NA
SSX2	SSX2	NA
C11orf52	C11orf52	NA
NR4A2	NR4A2	NA
KPNA2	KPNA2	NA
HHATL	HHATL	NA
KIF26A	KIF26A	NA
CLEC18C	CLEC18C	NA
CLEC18B	CLEC18B	NA
CLEC18A	CLEC18A	NA
ADSSL1	ADSSL1	NA
CLDN3	CLDN3	NA
MAP3K21	MAP3K21	NA
GRM4	GRM4	NA
NAT1	NAT1	NA
NAT2	NAT2	NA
MMP12	MMP12	NA
CFAP46	CFAP46	NA
BMPER	BMPER	NA
AK9	AK9	NA
CDCA8	CDCA8	NA
CD109	CD109	NA
SNRPN	SNRPN	NA
KNL1	KNL1	NA
SALL3	SALL3	NA
ASCL1	ASCL1	NA
MYBPH	MYBPH	NA
PLCXD3	PLCXD3	NA
NEIL2	NEIL2	NA
UBC	UBC	NA
NUAK2	NUAK2	NA
FCGR2A	FCGR2A	NA
FCGR2B	FCGR2B	NA
FCGR2C	FCGR2C	NA
RTL4	RTL4	NA
RSPH10B	RSPH10B	NA
RSPH10B2	RSPH10B2	NA
ARHGAP11B	ARHGAP11B	NA
ARHGAP11A	ARHGAP11A	NA
DLEU7	DLEU7	NA
PRAP1	PRAP1	NA
ZNF511-PRAP1	ZNF511-PRAP1	NA
MYO15A	MYO15A	NA
PAMR1	PAMR1	NA
CUX2	CUX2	NA
TRIM43	TRIM43	NA
TRIM43B	TRIM43B	NA
KLHDC8A	KLHDC8A	NA
SCARNA2	SCARNA2	NA
NKD2	NKD2	NA
SLFN12L	SLFN12L	NA
SLFN12	SLFN12	NA
IYD	IYD	NA
CHI3L1	CHI3L1	NA
LRRC26	LRRC26	NA
FCHSD1	FCHSD1	NA
ATP10A	ATP10A	NA
SAMSN1	SAMSN1	NA
FES	FES	NA
OR4E1	OR4E1	NA
MOCOS	MOCOS	NA
CCDC85B	CCDC85B	NA
OPN1MW	OPN1MW	NA
OPN1LW	OPN1LW	NA
OPN1MW3	OPN1MW3	NA
OPN1MW2	OPN1MW2	NA
STAB1	STAB1	NA
BRINP3	BRINP3	NA
FBLN1	FBLN1	NA
POLR2L	POLR2L	NA
TSPAN18	TSPAN18	NA
LSS	LSS	NA
LY86	LY86	NA
SBSPON	SBSPON	NA
NLRP3	NLRP3	NA
IFIT2	IFIT2	NA
CHRNA4	CHRNA4	NA
GLTP	GLTP	NA
TTK	TTK	NA
ATP5ME	ATP5ME	NA
LRRK1	LRRK1	NA
STC2	STC2	NA
PLD4	PLD4	NA
SLC16A12	SLC16A12	NA
BET1L	BET1L	NA
TBC1D2B	TBC1D2B	NA
HELZ2	HELZ2	NA
AHNAK	AHNAK	NA
PLXNB3	PLXNB3	NA
GRK4	GRK4	NA
DOCK2	DOCK2	NA
KRT5	KRT5	NA
AP5B1	AP5B1	NA
ZNF521	ZNF521	NA
TRIM59	TRIM59	NA
PNMA6E	PNMA6E	NA
PNMA6F	PNMA6F	NA
TMEM63A	TMEM63A	NA
ARHGAP45	ARHGAP45	NA
PLEKHG2	PLEKHG2	NA
MAATS1	MAATS1	NA
MYO1F	MYO1F	NA
CCL8	CCL8	NA
BLNK	BLNK	NA
POU1F1	POU1F1	NA
SLC25A45	SLC25A45	NA
SMTN	SMTN	NA
STK33	STK33	NA
ASAP3	ASAP3	NA
FBXL7	FBXL7	NA
LRRC6	LRRC6	NA
DCX	DCX	NA
BMP6	BMP6	NA
PDZD2	PDZD2	NA
STAT1	STAT1	NA
OR52K1	OR52K1	NA
OR52K2	OR52K2	NA
ADAMTSL5	ADAMTSL5	NA
LITAF	LITAF	NA
PRR14L	PRR14L	NA
SSX5	SSX5	NA
SSX3	SSX3	NA
SSX1	SSX1	NA
HK2	HK2	NA
TGDS	TGDS	NA
BEX4	BEX4	NA
NFKBIA	NFKBIA	NA
MFSD2A	MFSD2A	NA
MYRF	MYRF	NA
MR1	MR1	NA
CD38	CD38	NA
EPSTI1	EPSTI1	NA
GBGT1	GBGT1	NA
VASH2	VASH2	NA
PTH1R	PTH1R	NA
SYT10	SYT10	NA
DDIT4	DDIT4	NA
RND1	RND1	NA
OR5B3	OR5B3	NA
TP73	TP73	NA
ACAN	ACAN	NA
RTKN2	RTKN2	NA
UCP2	UCP2	NA
IGFBP3	IGFBP3	NA
TFPI	TFPI	NA
LCOR	LCOR	NA
LYPD6B	LYPD6B	NA
LRRC75A	LRRC75A	NA
TRIM25	TRIM25	NA
VIP	VIP	NA
GNG11	GNG11	NA
FAM129A	FAM129A	NA
NFAM1	NFAM1	NA
CDC42EP3	CDC42EP3	NA
FAM84B	FAM84B	NA
AMZ1	AMZ1	NA
GPR3	GPR3	NA
NID2	NID2	NA
COL5A3	COL5A3	NA
SOGA1	SOGA1	NA
KANK1	KANK1	NA
LAMB3	LAMB3	NA
NEU4	NEU4	NA
KCNK13	KCNK13	NA
ANGPT4	ANGPT4	NA
TMEM132E	TMEM132E	NA
SHCBP1L	SHCBP1L	NA
SMAD6	SMAD6	NA
FOXO6	FOXO6	NA
CRLF2	CRLF2	NA
HTR6	HTR6	NA
IKZF1	IKZF1	NA
UTY	UTY	NA
MFSD2B	MFSD2B	NA
FBXW10	FBXW10	NA
CDRT1	CDRT1	NA
MVP	MVP	NA
DDX4	DDX4	NA
OPALIN	OPALIN	NA
SMIM11A	SMIM11A	NA
SMIM11B	SMIM11B	NA
EYA4	EYA4	NA
C1QC	C1QC	NA
S100A6	S100A6	NA
ENO3	ENO3	NA
TMC4	TMC4	NA
LCT	LCT	NA
ABCG2	ABCG2	NA
ISLR	ISLR	NA
MMRN2	MMRN2	NA
AGMO	AGMO	NA
PARP3	PARP3	NA
WNT4	WNT4	NA
HRH3	HRH3	NA
PTPRO	PTPRO	NA
ZNF727	ZNF727	NA
ZNF736	ZNF736	NA
HAVCR2	HAVCR2	NA
SLC39A4	SLC39A4	NA
OLIG1	OLIG1	NA
RASGEF1B	RASGEF1B	NA
FBXO32	FBXO32	NA
CFAP44	CFAP44	NA
PCSK1	PCSK1	NA
NREP	NREP	NA
SERPINH1	SERPINH1	NA
RAMACL	RAMACL	NA
RAMAC	RAMAC	NA
HIST1H2BF	HIST1H2BF	NA
OLIG2	OLIG2	NA
INO80B-WBP1	INO80B-WBP1	NA
INO80B	INO80B	NA
TMSB10	TMSB10	NA
RSPO3	RSPO3	NA
HMMR	HMMR	NA
SFMBT2	SFMBT2	NA
SHISA6	SHISA6	NA
TERT	TERT	NA
ABCA9	ABCA9	NA
RAI14	RAI14	NA
ROR1	ROR1	NA
CFAP61	CFAP61	NA
LAMP5	LAMP5	NA
ZNF507	ZNF507	NA
APEX2	APEX2	NA
COL12A1	COL12A1	NA
FBN2	FBN2	NA
IGSF1	IGSF1	NA
SLC30A2	SLC30A2	NA
TCERG1L	TCERG1L	NA
ELK4	ELK4	NA
KCNA4	KCNA4	NA
DPP10	DPP10	NA
XKR6	XKR6	NA
GLT8D2	GLT8D2	NA
SNCAIP	SNCAIP	NA
ESYT3	ESYT3	NA
DMRTA1	DMRTA1	NA
USH2A	USH2A	NA
OR7G2	OR7G2	NA
HS6ST3	HS6ST3	NA
CHSY3	CHSY3	NA
DNAH3	DNAH3	NA
TLR4	TLR4	NA
GRPR	GRPR	NA
RGS11	RGS11	NA
FZD5	FZD5	NA
PRR5L	PRR5L	NA
SLC22A8	SLC22A8	NA
ACOT1	ACOT1	NA
ACOT2	ACOT2	NA
GADD45G	GADD45G	NA
SEMA3D	SEMA3D	NA
SLC25A13	SLC25A13	NA
SCML4	SCML4	NA
DXO	DXO	NA
DUSP15	DUSP15	NA
CCR5	CCR5	NA
GATM	GATM	NA
MAP3K15	MAP3K15	NA
CRLF1	CRLF1	NA
TCIRG1	TCIRG1	NA
CDR2	CDR2	NA
SERF1B	SERF1B	NA
SERF1A	SERF1A	NA
PLCG2	PLCG2	NA
PPP1R14A	PPP1R14A	NA
SLC18A2	SLC18A2	NA
ARRDC4	ARRDC4	NA
ZFHX4	ZFHX4	NA
SYT9	SYT9	NA
DOCK5	DOCK5	NA
MEIS2	MEIS2	NA
CBLN2	CBLN2	NA
LIMS2	LIMS2	NA
PDZRN4	PDZRN4	NA
NHS	NHS	NA
GNGT2	GNGT2	NA
ACE	ACE	NA
LFNG	LFNG	NA
TRIOBP	TRIOBP	NA
PLS1	PLS1	NA
CHDH	CHDH	NA
AIF1L	AIF1L	NA
MCM3	MCM3	NA
GJC1	GJC1	NA
TNFRSF11A	TNFRSF11A	NA
CCDC81	CCDC81	NA
SLC2A1	SLC2A1	NA
RSPO2	RSPO2	NA
CCNF	CCNF	NA
NOD1	NOD1	NA
DUSP12	DUSP12	NA
OLFM2	OLFM2	NA
CASC1	CASC1	NA
C10orf90	C10orf90	NA
COL4A5	COL4A5	NA
CTNNA3	CTNNA3	NA
FAM72C	FAM72C	NA
FAM72B	FAM72B	NA
FAM72A	FAM72A	NA
FAM72D	FAM72D	NA
PDCD11	PDCD11	NA
HR	HR	NA
RIMBP3	RIMBP3	NA
RIMBP3B	RIMBP3B	NA
RIMBP3C	RIMBP3C	NA
CCDC190	CCDC190	NA
IRF5	IRF5	NA
C1QB	C1QB	NA
KIAA1024	KIAA1024	NA
PLCB4	PLCB4	NA
CBX8	CBX8	NA
TONSL	TONSL	NA
PDK4	PDK4	NA
CD53	CD53	NA
KIAA1614	KIAA1614	NA
LBP	LBP	NA
TIMELESS	TIMELESS	NA
STEAP1	STEAP1	NA
STEAP1B	STEAP1B	NA
CFAP65	CFAP65	NA
KLF10	KLF10	NA
MMP14	MMP14	NA
OR6X1	OR6X1	NA
ZDBF2	ZDBF2	NA
KMT5B	KMT5B	NA
LACC1	LACC1	NA
AFAP1L1	AFAP1L1	NA
NKAIN3	NKAIN3	NA
ATP5IF1	ATP5IF1	NA
KCTD8	KCTD8	NA
IL17D	IL17D	NA
RSPH4A	RSPH4A	NA
RGS6	RGS6	NA
KL	KL	NA
PADI2	PADI2	NA
COL4A1	COL4A1	NA
COL11A2	COL11A2	NA
SLC9A7	SLC9A7	NA
VAT1L	VAT1L	NA
CEP112	CEP112	NA
OPRM1	OPRM1	NA
CCDC8	CCDC8	NA
ZFP41	ZFP41	NA
PLXND1	PLXND1	NA
IL17RA	IL17RA	NA
USP54	USP54	NA
ASS1	ASS1	NA
DNAH2	DNAH2	NA
SCAND1	SCAND1	NA
FAM107A	FAM107A	NA
GADD45B	GADD45B	NA
ADAM12	ADAM12	NA
FRRS1	FRRS1	NA
FREM1	FREM1	NA
FN1	FN1	NA
EZH2	EZH2	NA
ARSG	ARSG	NA
UACA	UACA	NA
RREB1	RREB1	NA
ATP7A	ATP7A	NA
SORCS1	SORCS1	NA
STOX1	STOX1	NA
PCSK1N	PCSK1N	NA
CEP72	CEP72	NA
RBMXL1	RBMXL1	NA
NPNT	NPNT	NA
BEAN1	BEAN1	NA
TIMM8A	TIMM8A	NA
ADAMTS2	ADAMTS2	NA
SYCP2	SYCP2	NA
LAIR1	LAIR1	NA
ACAD10	ACAD10	NA
OPN3	OPN3	NA
APBB1IP	APBB1IP	NA
GJB6	GJB6	NA
FAM228A	FAM228A	NA
SCN9A	SCN9A	NA
RASD1	RASD1	NA
SHC4	SHC4	NA
CPZ	CPZ	NA
ANXA3	ANXA3	NA
ULBP3	ULBP3	NA
ULBP2	ULBP2	NA
ULBP1	ULBP1	NA
RAET1G	RAET1G	NA
RAET1L	RAET1L	NA
RAET1E	RAET1E	NA
ZBTB37	ZBTB37	NA
LGI2	LGI2	NA
CSRP2	CSRP2	NA
C1QL2	C1QL2	NA
ETHE1	ETHE1	NA
KIAA1522	KIAA1522	NA
EXOC3L1	EXOC3L1	NA
SOX10	SOX10	NA
ICOSLG	ICOSLG	NA
ABTB2	ABTB2	NA
PARP12	PARP12	NA
SEMA6A	SEMA6A	NA
CNTN4	CNTN4	NA
FAM205C	FAM205C	NA
LRRTM4	LRRTM4	NA
ANKRD63	ANKRD63	NA
SNED1	SNED1	NA
SMIM26	SMIM26	NA
CCDC117	CCDC117	NA
VTN	VTN	NA
MMP15	MMP15	NA
ADRA2A	ADRA2A	NA
SSTR4	SSTR4	NA
CA14	CA14	NA
THBD	THBD	NA
TMEM196	TMEM196	NA
KCNG1	KCNG1	NA
NLRC3	NLRC3	NA
DGKI	DGKI	NA
MCAM	MCAM	NA
TTYH2	TTYH2	NA
LHX9	LHX9	NA
FGD3	FGD3	NA
RASSF3	RASSF3	NA
FKBP5	FKBP5	NA
KLF15	KLF15	NA
ETNK1	ETNK1	NA
WHRN	WHRN	NA
IMMP2L	IMMP2L	NA
KCNMB2	KCNMB2	NA
IGSF9B	IGSF9B	NA
S1PR5	S1PR5	NA
SLC19A3	SLC19A3	NA
FBN1	FBN1	NA
NKIRAS2	NKIRAS2	NA
TRIM36	TRIM36	NA
ACOT11	ACOT11	NA
FSTL4	FSTL4	NA
FGD5	FGD5	NA
MYH7B	MYH7B	NA
POU3F2	POU3F2	NA
SULF1	SULF1	NA
KCNJ18	KCNJ18	NA
KCNJ12	KCNJ12	NA
SPATA13	SPATA13	NA
TFEB	TFEB	NA
FNDC1	FNDC1	NA
SMOC1	SMOC1	NA
SERTAD1	SERTAD1	NA
PLEKHA2	PLEKHA2	NA
EPOP	EPOP	NA
CNTNAP4	CNTNAP4	NA
VSTM5	VSTM5	NA
HES1	HES1	NA
TTC12	TTC12	NA
GPR62	GPR62	NA
UNC5D	UNC5D	NA
PLD1	PLD1	NA
HSD17B7	HSD17B7	NA
ZNF195	ZNF195	NA
ZNF429	ZNF429	NA
SPIN2B	SPIN2B	NA
SPIN2A	SPIN2A	NA
ZBTB16	ZBTB16	NA
PNPLA7	PNPLA7	NA
MROH7	MROH7	NA
MROH7-TTC4	MROH7-TTC4	NA
ABCC9	ABCC9	NA
TPCN2	TPCN2	NA
LRRC3	LRRC3	NA
PET100	PET100	NA
FLYWCH2	FLYWCH2	NA
TTC30B	TTC30B	NA
TTC30A	TTC30A	NA
C2CD4C	C2CD4C	NA
C9orf64	C9orf64	NA
CLIC5	CLIC5	NA
SFT2D1	SFT2D1	NA
TOB2	TOB2	NA
CPM	CPM	NA
PNOC	PNOC	NA
MOXD1	MOXD1	NA
CHADL	CHADL	NA
CDK6	CDK6	NA
IL1RAPL1	IL1RAPL1	NA
MICALL1	MICALL1	NA
DDO	DDO	NA
GRAMD2B	GRAMD2B	NA
SLC9A4	SLC9A4	NA
CD82	CD82	NA
COL16A1	COL16A1	NA
IL13RA1	IL13RA1	NA
MGAT4C	MGAT4C	NA
SV2C	SV2C	NA
PPIL6	PPIL6	NA
NMRAL1	NMRAL1	NA
LAGE3	LAGE3	NA
MAML2	MAML2	NA
STK17B	STK17B	NA
APCDD1	APCDD1	NA
TRAF4	TRAF4	NA
UPRT	UPRT	NA
GNA12	GNA12	NA
STON1-GTF2A1L	STON1-GTF2A1L	NA
STON1	STON1	NA
IL12RB2	IL12RB2	NA
MT-ND6	MT-ND6	NA
AGBL4	AGBL4	NA
OLFML2B	OLFML2B	NA
TMEM158	TMEM158	NA
LINC02210-CRHR1	LINC02210-CRHR1	NA
CRHR1	CRHR1	NA
PLEKHH1	PLEKHH1	NA
SNAPC5	SNAPC5	NA
NFASC	NFASC	NA
TFR2	TFR2	NA
BHLHE41	BHLHE41	NA
ADCY8	ADCY8	NA
STARD10	STARD10	NA
FAM78A	FAM78A	NA
PLEK	PLEK	NA
UBB	UBB	NA
RGL3	RGL3	NA
PLLP	PLLP	NA
NFKBIL1	NFKBIL1	NA
CERKL	CERKL	NA
RHOG	RHOG	NA
BCAS1	BCAS1	NA
LAPTM5	LAPTM5	NA
KDELC1	KDELC1	NA
DOCK8	DOCK8	NA
DDAH2	DDAH2	NA
SMIM1	SMIM1	NA
IQCK	IQCK	NA
CYP27A1	CYP27A1	NA
SLC27A2	SLC27A2	NA
CDC42EP1	CDC42EP1	NA
SLC2A9	SLC2A9	NA
PCDH11X	PCDH11X	NA
PCDH11Y	PCDH11Y	NA
TNS2	TNS2	NA
SUPT3H	SUPT3H	NA
ELOVL7	ELOVL7	NA
COL27A1	COL27A1	NA
PROS1	PROS1	NA
ENPP2	ENPP2	NA
HMGA1	HMGA1	NA
SLC16A6	SLC16A6	NA
NTF3	NTF3	NA
FOSL2	FOSL2	NA
DTX3L	DTX3L	NA
PLCD3	PLCD3	NA
EIF2AK2	EIF2AK2	NA
LINGO3	LINGO3	NA
ELOVL1	ELOVL1	NA
AKAP12	AKAP12	NA
VANGL1	VANGL1	NA
LCP1	LCP1	NA
NCKAP1L	NCKAP1L	NA
LRCH3	LRCH3	NA
GFRA2	GFRA2	NA
ST3GAL1	ST3GAL1	NA
HTR7	HTR7	NA
TRMT112	TRMT112	NA
ERBIN	ERBIN	NA
SERINC2	SERINC2	NA
LINGO2	LINGO2	NA
CD93	CD93	NA
POLR2K	POLR2K	NA
TMEM119	TMEM119	NA
ANAPC13	ANAPC13	NA
CALR3	CALR3	NA
YY1AP1	YY1AP1	NA
GON4L	GON4L	NA
CHST9	CHST9	NA
PRKG1	PRKG1	NA
MRGPRE	MRGPRE	NA
SLC12A4	SLC12A4	NA
MPC1	MPC1	NA
DHRS4L2	DHRS4L2	NA
DHRS4	DHRS4	NA
FXYD6	FXYD6	NA
EFNB2	EFNB2	NA
MCF2	MCF2	NA
LAMA5	LAMA5	NA
RPS27L	RPS27L	NA
CD55	CD55	NA
PER1	PER1	NA
CERCAM	CERCAM	NA
ZNF423	ZNF423	NA
GPRIN3	GPRIN3	NA
ZNF747	ZNF747	NA
ZNF764	ZNF764	NA
ATP5MD	ATP5MD	NA
DPYSL5	DPYSL5	NA
RASGRP2	RASGRP2	NA
FAM228B	FAM228B	NA
HIVEP1	HIVEP1	NA
PLEKHG1	PLEKHG1	NA
HAP1	HAP1	NA
DUSP6	DUSP6	NA
VWA3B	VWA3B	NA
DZANK1	DZANK1	NA
CABYR	CABYR	NA
ZNF483	ZNF483	NA
JPT2	JPT2	NA
PLXNA1	PLXNA1	NA
SLC26A6	SLC26A6	NA
OR1F1	OR1F1	NA
ALMS1	ALMS1	NA
SERTAD4	SERTAD4	NA
ANKRD34B	ANKRD34B	NA
ELOA3B	ELOA3B	NA
ELOA3	ELOA3	NA
ELOA3C	ELOA3C	NA
ELOA2	ELOA2	NA
ELOA3D	ELOA3D	NA
APLN	APLN	NA
PHLDA3	PHLDA3	NA
NRDE2	NRDE2	NA
REST	REST	NA
SEMA5A	SEMA5A	NA
TMEM88B	TMEM88B	NA
PAX6	PAX6	NA
CDH24	CDH24	NA
SFI1	SFI1	NA
GLIS3	GLIS3	NA
WDPCP	WDPCP	NA
FGF14	FGF14	NA
MEX3D	MEX3D	NA
FXYD1	FXYD1	NA
NDNF	NDNF	NA
HRH2	HRH2	NA
PLOD1	PLOD1	NA
B4GALT1	B4GALT1	NA
OTUD1	OTUD1	NA
KANK4	KANK4	NA
RGS9	RGS9	NA
PKMYT1	PKMYT1	NA
MAP3K20	MAP3K20	NA
SMCHD1	SMCHD1	NA
GPHN	GPHN	NA
PSTPIP2	PSTPIP2	NA
TNXB	TNXB	NA
RABGAP1	RABGAP1	NA
TPRN	TPRN	NA
CCDC184	CCDC184	NA
DDR1	DDR1	NA
DEPTOR	DEPTOR	NA
TET1	TET1	NA
RASGRP3	RASGRP3	NA
RAB24	RAB24	NA
GALNT3	GALNT3	NA
DPYD	DPYD	NA
STK26	STK26	NA
TRIP10	TRIP10	NA
PHLDB2	PHLDB2	NA
RPUSD3	RPUSD3	NA
CDH20	CDH20	NA
GP1BB	GP1BB	NA
UQCC3	UQCC3	NA
SPAG16	SPAG16	NA
TIA1	TIA1	NA
ZNF395	ZNF395	NA
KCNJ16	KCNJ16	NA
MRM1	MRM1	NA
ZKSCAN2	ZKSCAN2	NA
CPNE5	CPNE5	NA
SLC29A4	SLC29A4	NA
ADAMTS17	ADAMTS17	NA
MAD1L1	MAD1L1	NA
COQ10B	COQ10B	NA
POU2F2	POU2F2	NA
DCHS1	DCHS1	NA
NR6A1	NR6A1	NA
NRG3	NRG3	NA
RPL12	RPL12	NA
GPR176	GPR176	NA
MSX1	MSX1	NA
STRN	STRN	NA
FRMD3	FRMD3	NA
PAWR	PAWR	NA
NMNAT1	NMNAT1	NA
TOMM7	TOMM7	NA
CARD19	CARD19	NA
RYR1	RYR1	NA
NPR3	NPR3	NA
TENM2	TENM2	NA
HTR5A	HTR5A	NA
C12orf75	C12orf75	NA
GABRA3	GABRA3	NA
PLK3	PLK3	NA
ASAP2	ASAP2	NA
KLHDC7A	KLHDC7A	NA
DCC	DCC	NA
HAPLN1	HAPLN1	NA
SGCD	SGCD	NA
UNC93B1	UNC93B1	NA
RPS21	RPS21	NA
OAF	OAF	NA
CNTN6	CNTN6	NA
C9orf3	C9orf3	NA
IDI1	IDI1	NA
SPSB1	SPSB1	NA
KANK3	KANK3	NA
TP53INP1	TP53INP1	NA
ESYT1	ESYT1	NA
MARCKSL1	MARCKSL1	NA
HIPK2	HIPK2	NA
ARL5B	ARL5B	NA
SPATA24	SPATA24	NA
HECTD2	HECTD2	NA
PARVB	PARVB	NA
IGF1	IGF1	NA
GRID2	GRID2	NA
GRAMD2A	GRAMD2A	NA
STAT6	STAT6	NA
SHKBP1	SHKBP1	NA
ACVRL1	ACVRL1	NA
FAM163A	FAM163A	NA
ACKR3	ACKR3	NA
RNF144B	RNF144B	NA
ASTE1	ASTE1	NA
MAP7	MAP7	NA
CIRBP	CIRBP	NA
VPS37B	VPS37B	NA
ALPK1	ALPK1	NA
TUBA1B	TUBA1B	NA
TMEM44	TMEM44	NA
PRKCQ	PRKCQ	NA
FYCO1	FYCO1	NA
PLPPR1	PLPPR1	NA
RPH3AL	RPH3AL	NA
VWA3A	VWA3A	NA
ONECUT2	ONECUT2	NA
EPHX2	EPHX2	NA
HBP1	HBP1	NA
GUCY1A1	GUCY1A1	NA
BEX2	BEX2	NA
CA10	CA10	NA
PXDC1	PXDC1	NA
LRGUK	LRGUK	NA
ARHGEF15	ARHGEF15	NA
MT3	MT3	NA
LENG8	LENG8	NA
NTNG1	NTNG1	NA
FRMD8	FRMD8	NA
CAVIN3	CAVIN3	NA
NECAB3	NECAB3	NA
INF2	INF2	NA
CEBPA	CEBPA	NA
SIRT2	SIRT2	NA
CYP4X1	CYP4X1	NA
KCTD12	KCTD12	NA
ATM	ATM	NA
NWD2	NWD2	NA
SRL	SRL	NA
ZNF169	ZNF169	NA
HSPA5	HSPA5	NA
HTR2A	HTR2A	NA
STARD4	STARD4	NA
LRP5	LRP5	NA
LRP5L	LRP5L	NA
VWA5B2	VWA5B2	NA
ST6GALNAC3	ST6GALNAC3	NA
DUSP14	DUSP14	NA
CIT	CIT	NA
RND3	RND3	NA
TRMT13	TRMT13	NA
PTCHD4	PTCHD4	NA
AKAIN1	AKAIN1	NA
ATP5MG	ATP5MG	NA
ATP5MGL	ATP5MGL	NA
ARHGAP20	ARHGAP20	NA
FRG2	FRG2	NA
FRG2C	FRG2C	NA
FRG2B	FRG2B	NA
SIPA1	SIPA1	NA
RPL36A	RPL36A	NA
C8orf59	C8orf59	NA
FBXO30	FBXO30	NA
TMEM56-RWDD3	TMEM56-RWDD3	NA
TMEM56	TMEM56	NA
FXYD7	FXYD7	NA
EFHD1	EFHD1	NA
SEPT4	SEPT4	NA
PROX1	PROX1	NA
LAMB2	LAMB2	NA
UNC5B	UNC5B	NA
PIN4	PIN4	NA
RNASE4	RNASE4	NA
CDH6	CDH6	NA
INSIG1	INSIG1	NA
CTSH	CTSH	NA
SMC4	SMC4	NA
RCAN2	RCAN2	NA
CCNJL	CCNJL	NA
NFE2L2	NFE2L2	NA
PDPR	PDPR	NA
DNAJB1	DNAJB1	NA
LCA5	LCA5	NA
MASP1	MASP1	NA
DCDC2	DCDC2	NA
EPHB1	EPHB1	NA
TMEM176A	TMEM176A	NA
IL1R1	IL1R1	NA
WIPF3	WIPF3	NA
NOV	NOV	NA
FAT4	FAT4	NA
SREBF1	SREBF1	NA
