"","Gene","modulesA1"
"891","DKK2","grey"
"892","NCAPH","grey"
"893","C1RL","grey"
"894","MEX3A","grey"
"895","MYB","grey"
"896","CD14","grey"
"897","MEDAG","grey"
"898","TP63","grey"
"899","DPP4","blue"
"900","ASPRV1","grey"
"901","PATE2","grey"
"902","SLA2","grey"
"903","ASGR1","black"
"904","CREB3L3","grey"
"905","P4HA3","grey"
"906","TPM2","black"
"907","HS3ST5","grey"
"908","DERL3","grey"
"909","RUBCNL","grey"
"910","CA9","grey"
"911","ABCA12","grey"
"912","NR1H4","grey"
"913","ARR3","grey"
"914","CDKN2C","grey"
"915","PCSK4","grey"
"916","RAB38","grey"
"917","ENTR1","grey"
"918","UCP3","grey"
"919","MYOC","grey"
"920","LY75","grey"
"921","LY75-CD302","grey"
"922","CHRNA2","grey"
"923","CCDC155","grey"
"924","RBM3","grey"
"925","PTCHD1","grey"
"926","SLC17A9","grey"
"927","LDLR","grey"
"928","SLC13A4","black"
"929","IER3","grey"
"930","IL17RE","grey"
"931","OR51E1","grey"
"932","SCEL","grey"
"933","MYH3","grey"
"934","LRG1","grey"
"935","STAP1","lightcyan"
"936","SP9","red"
"937","DNAH17","grey"
"938","C8G","grey"
"939","TLL2","grey"
"940","SLC1A5","grey"
"941","KCNH4","grey"
"942","DTL","blue"
"943","FAS","grey"
"944","DDX58","yellow"
"945","NOXO1","grey"
"946","VN1R5","grey"
"947","FOSB","salmon"
"948","TGM2","grey"
"949","DEPDC1B","turquoise"
"950","S100A9","grey"
"951","IGFBP6","grey"
"952","GSDMD","grey"
"953","TNNI1","turquoise"
"954","CDHR2","grey"
"955","ADGRE1","grey"
"956","PLCZ1","grey"
"957","GUCA1B","grey"
"958","TEC","grey"
"959","SELENOV","grey"
"960","LRRN4CL","grey"
"961","UMODL1","grey"
"962","UBASH3A","grey"
"963","CCDC146","grey"
"964","UGT3A2","grey"
"965","B4GALNT3","grey"
"966","ROR2","grey"
"967","LY6G6E","grey"
"968","C9orf152","grey"
"969","MMP9","grey"
"970","C5orf52","grey"
"971","PRIMA1","magenta"
"972","TPBGL","grey"
"973","SMIM24","grey"
"974","PCTP","grey"
"975","HAPLN3","grey"
"976","ST14","yellow"
"977","NPC1L1","grey"
"978","CYP2R1","grey"
"979","FBXO47","grey"
"980","PPP1R3G","grey"
"981","VAMP5","grey"
"982","CENPM","grey"
"983","SLC35D3","grey"
"984","CKMT2","grey"
"985","PDLIM3","grey"
"986","IL1RL2","grey"
"987","IQCM","grey"
"988","FHDC1","grey"
"989","TMEM37","grey"
"990","NKX2-2","grey"
"991","KLHL10","grey"
"992","GAS2L2","grey"
"993","UHRF1","turquoise"
"994","LARGE2","grey"
"995","DDC","magenta"
"996","CKAP2L","grey"
"997","EMP1","grey"
"998","CORT","grey"
"999","SYCP3","grey"
"1000","KNSTRN","grey"
"1001","C17orf98","grey"
"1002","EPHA8","grey"
"1003","MLF1","grey"
"1004","ABCC3","grey"
"1005","CERS3","grey"
"1006","PDE4C","grey"
"1007","CA8","grey"
"1008","C16orf54","grey"
"1009","ZDHHC22","blue"
"1010","HES5","grey"
"1011","OAS1","yellow"
"1012","PATL2","grey"
"1013","VEPH1","grey"
"1014","MAG","turquoise"
"1015","SAMD11","grey"
"1016","ATP10B","grey"
"1017","SLC22A2","black"
"1018","PTPN22","grey"
"1019","WNT10B","grey"
"1020","CCDC78","grey"
"1021","OR5W2","grey"
"1022","PTPRQ","grey"
"1023","METTL11B","grey"
"1024","JPH2","grey"
"1025","MFAP4","grey"
"1026","COLEC12","black"
"1027","SDC1","grey"
"1028","C1orf94","lightcyan"
"1029","TAC1","grey"
"1030","GLMN","grey"
"1031","TEAD4","grey"
"1032","KRT12","grey"
"1033","CDK1","grey"
"1034","OR52H1","grey"
"1035","COL5A1","grey"
"1036","WNT9B","grey"
"1037","FOXQ1","grey"
"1038","C1R","grey"
"1039","SLAMF9","yellow"
"1040","TRPV4","grey"
"1041","PRR32","grey"
"1042","LTBP2","grey"
"1043","TEX14","grey"
"1044","WDFY4","grey"
"1045","ADAMTS4","turquoise"
"1046","CFAP57","grey"
"1047","CASQ2","grey"
"1048","PLCXD2","grey"
"1049","ZFP36L1","grey"
"1050","TMEM252","grey"
"1051","SH2D4B","grey"
"1052","CDHR3","cyan"
"1053","PLEKHG4","grey"
"1054","GPX3","grey"
"1055","OTX2","grey"
"1056","HIGD1B","grey"
"1057","THBS2","grey"
"1058","FAM181A","grey"
"1059","SSC4D","grey"
"1060","LAT2","grey"
"1061","GIMAP8","grey"
"1062","PLA2G3","grey"
"1063","SPAG8","grey"
"1064","FOXG1","grey"
"1065","APOBR","grey"
