"","GeneL","modulesA1L"
"314","MEOX1","MsAge7K_00"
"315","IFI44","MsAge7K_00"
"316","LDLRAP1","MsAge7K_01"
"317","BDKRB2","MsAge7K_04"
"318","ITGAD","MsAge7K_00"
"319","CORIN","MsAge7K_06"
"320","SIK1","MsAge7K_13"
"321","SIK1B","MsAge7K_13"
"322","NHLH1","MsAge7K_00"
"323","UGT8","MsAge7K_01"
"324","TNNT1","MsAge7K_00"
"325","RPE65","MsAge7K_02"
"326","CYR61","MsAge7K_13"
"327","TNFSF10","MsAge7K_00"
"328","JUNB","MsAge7K_13"
"329","RNF207","MsAge7K_00"
"330","ZBBX","MsAge7K_00"
"331","NEU2","MsAge7K_00"
"332","TMEM255B","MsAge7K_02"
"333","NRG1","MsAge7K_02"
"334","TDRD1","MsAge7K_00"
"335","LAG3","MsAge7K_04"
"336","IFITM2","MsAge7K_04"
"337","IFITM3","MsAge7K_04"
"338","IFITM1","MsAge7K_04"
"339","SIGLEC1","MsAge7K_07"
"340","EGR1","MsAge7K_13"
"341","SLC11A1","MsAge7K_04"
"342","CST7","MsAge7K_04"
"343","NLRC4","MsAge7K_00"
"344","SHISA8","MsAge7K_01"
"345","DCAF12L2","MsAge7K_00"
"346","C1QTNF7","MsAge7K_05"
"347","NXPH2","MsAge7K_00"
"348","PLEKHF1","MsAge7K_00"
"349","CRYGN","MsAge7K_00"
"350","COL6A5","MsAge7K_00"
"351","DNMT3B","MsAge7K_00"
"352","MYL4","MsAge7K_00"
"353","ALOX12B","MsAge7K_00"
"354","CALB2","MsAge7K_06"
"355","CILP2","MsAge7K_00"
"356","RNF213","MsAge7K_03"
"357","CNGB1","MsAge7K_00"
"358","LOX","MsAge7K_00"
"359","HSPB1","MsAge7K_00"
"360","WDR49","MsAge7K_14"
"361","PTPRC","MsAge7K_04"
"362","VWA5B1","MsAge7K_00"
"363","TRIM14","MsAge7K_04"
"364","ADGRF2","MsAge7K_00"
"365","ZC3HAV1","MsAge7K_04"
"366","PROM2","MsAge7K_04"
"367","DEPDC7","MsAge7K_00"
"368","PDE6C","MsAge7K_00"
"369","DBH","MsAge7K_00"
"370","AHNAK2","MsAge7K_00"
"371","HAPLN2","MsAge7K_09"
"372","GBP6","MsAge7K_00"
"373","PTH2R","MsAge7K_02"
"374","TBC1D10C","MsAge7K_00"
"375","TACR3","MsAge7K_05"
"376","NKX2-1","MsAge7K_06"
"377","IER2","MsAge7K_13"
"378","PPL","MsAge7K_00"
"379","ADAMTS13","MsAge7K_00"
"380","WDR86","MsAge7K_00"
"381","LYVE1","MsAge7K_00"
"382","BTN2A2","MsAge7K_00"
"383","PLXDC1","MsAge7K_02"
"384","CLCF1","MsAge7K_00"
"385","LST1","MsAge7K_00"
"386","PIDD1","MsAge7K_00"
"387","SAMD9L","MsAge7K_04"
"388","SP7","MsAge7K_01"
"389","RNF17","MsAge7K_00"
"390","ALPK2","MsAge7K_12"
"391","CD4","MsAge7K_00"
"392","LRRC74B","MsAge7K_14"
"393","TEX13D","MsAge7K_11"
"394","TEX13C","MsAge7K_11"
"395","ERVW-1","MsAge7K_00"
"396","MAL","MsAge7K_01"
"397","DNAH11","MsAge7K_14"
"398","KCNK5","MsAge7K_00"
"399","FRMPD2","MsAge7K_14"
"400","CASQ1","MsAge7K_00"
"401","KCNA5","MsAge7K_00"
"402","TTC16","MsAge7K_00"
"403","TNFSF13B","MsAge7K_00"
"404","SERPINE1","MsAge7K_00"
"405","TACR1","MsAge7K_00"
"406","THBS4","MsAge7K_00"
"407","COL23A1","MsAge7K_05"
"408","PDZD3","MsAge7K_00"
"409","TRDN","MsAge7K_00"
"410","TTLL6","MsAge7K_00"
"411","NTS","MsAge7K_00"
"412","CYP26B1","MsAge7K_11"
"413","ANKRD66","MsAge7K_14"
"414","C7orf57","MsAge7K_00"
"415","C22orf15","MsAge7K_00"
"416","IL36G","MsAge7K_00"
"417","TRPM6","MsAge7K_00"
"418","TMPRSS11A","MsAge7K_00"
"419","GPR6","MsAge7K_02"
"420","GPR50","MsAge7K_00"
"421","UNC13C","MsAge7K_02"
"422","LIN28B","MsAge7K_00"
"423","ADAMTS18","MsAge7K_00"
"424","DNAH7","MsAge7K_00"
"425","SLC38A5","MsAge7K_00"
"426","GHRL","MsAge7K_03"
"427","FABP7","MsAge7K_01"
"428","APOC1","MsAge7K_00"
"429","FREM3","MsAge7K_00"
"430","ECT2","MsAge7K_00"
"431","ARL4D","MsAge7K_00"
"432","MAP4K1","MsAge7K_00"
"433","NUPR1","MsAge7K_07"
"434","PRPH","MsAge7K_02"
"435","CHN2","MsAge7K_00"
"436","EYA2","MsAge7K_07"
"437","TBX15","MsAge7K_00"
"438","UCMA","MsAge7K_00"
"439","F13A1","MsAge7K_00"
"440","AP1M2","MsAge7K_00"
"441","LRRC36","MsAge7K_14"
"442","CD48","MsAge7K_04"
"443","SSPO","MsAge7K_01"
"444","TM6SF2","MsAge7K_00"
"445","TMIE","MsAge7K_00"
"446","GCNT4","MsAge7K_02"
