"","CellType_Vs_Others","MsGene"
"DHRS3","MicrogliByothersCuffdiff2FCover20","Dhrs3"
"DHX32","AstroByothersCuffdiff2FCover20","Dhx32"
"DHX34","MicrogliByothersCuffdiff2FCover20","Dhx34"
"DHX57","NeuronByothersCuffdiff2FCover20","Dhx57"
"DIABLO","NeuronByothersCuffdiff2FCover20","Diablo"
"DIDO1","AstroByothersCuffdiff2FCover20","Dido1"
"DIO2","AstroByothersCuffdiff2FCover20","Dio2"
"DIRAS1","NeuronByothersCuffdiff2FCover20","Diras1"
"DISC1","MicrogliByothersCuffdiff2FCover20","Disc1"
"DISP1","EndotheByothersCuffdiff2FCover20","Disp1"
"DKC1","AstroByothersCuffdiff2FCover20","Dkc1"
"DLG2","NeuronByothersCuffdiff2FCover20","Dlg2"
"DLG5","AstroByothersCuffdiff2FCover20","Dlg5"
"DLGAP4","NewOligoByothersCuffdiff2FCover20","Dlgap4"
"DLL4","EndotheByothersCuffdiff2FCover20","Dll4"
"DLX1","NeuronByothersCuffdiff2FCover20","Dlx1"
"DLX2","NeuronByothersCuffdiff2FCover20","Dlx2"
"DLX5","NeuronByothersCuffdiff2FCover20","Dlx5"
"DLX6","NeuronByothersCuffdiff2FCover20","Dlx6"
"DMAC2","EndotheByothersCuffdiff2FCover20","Dmac2"
"DMD","AstroByothersCuffdiff2FCover20","Dmd"
"DMRT3","NeuronByothersCuffdiff2FCover20","Dmrt3"
"DMRTB1","MicrogliByothersCuffdiff2FCover20","Dmrtb1"
"DMXL2","NeuronByothersCuffdiff2FCover20","Dmxl2"
"DNAH10","NewOligoByothersCuffdiff2FCover20","Dnah10"
"DNAH2","MicrogliByothersCuffdiff2FCover20","Dnah2"
"DNAH6","EndotheByothersCuffdiff2FCover20","Dnah6"
"DNAI2","MyeOligoByothersCuffdiff2FCover20","Dnaic2"
"DNAJB13","MicrogliByothersCuffdiff2FCover20","Dnajb13"
"DNAJB14","EndotheByothersCuffdiff2FCover20","Dnajb14"
"DNAJC16","MyeOligoByothersCuffdiff2FCover20","Dnajc16"
"DNAJC24","MyeOligoByothersCuffdiff2FCover20","Dnajc24"
"DNAJC6","NeuronByothersCuffdiff2FCover20","Dnajc6"
"DNASE1L3","MicrogliByothersCuffdiff2FCover20","Dnase1l3"
"DNASE2","MicrogliByothersCuffdiff2FCover20","Dnase2a"
"DNM1","NeuronByothersCuffdiff2FCover20","Dnm1"
"DNMT3A","MicrogliByothersCuffdiff2FCover20","Dnmt3a"
"DNMT3B","MicrogliByothersCuffdiff2FCover20","Dnmt3b"
"DNPEP","MicrogliByothersCuffdiff2FCover20","Dnpep"
"DNTTIP2","MicrogliByothersCuffdiff2FCover20","Dnttip2"
"DOC2A","NeuronByothersCuffdiff2FCover20","Doc2a"
"DOC2B","NeuronByothersCuffdiff2FCover20","Doc2b"
"DOCK2","MicrogliByothersCuffdiff2FCover20","Dock2"
"DOCK7","NeuronByothersCuffdiff2FCover20","Dock7"
"DOCK8","MicrogliByothersCuffdiff2FCover20","Dock8"
"DOK1","MicrogliByothersCuffdiff2FCover20","Dok1"
"DOK2","MicrogliByothersCuffdiff2FCover20","Dok2"
"DOK3","MicrogliByothersCuffdiff2FCover20","Dok3"
"DOK4","EndotheByothersCuffdiff2FCover20","Dok4"
"DONSON","AstroByothersCuffdiff2FCover20","Donson"
"DOP1A","NeuronByothersCuffdiff2FCover20","Dopey1"
"DOT1L","MicrogliByothersCuffdiff2FCover20","Dot1l"
"DPAGT1","MicrogliByothersCuffdiff2FCover20","Dpagt1"
"DPH7","AstroByothersCuffdiff2FCover20","Dph7"
"DPP4","EndotheByothersCuffdiff2FCover20","Dpp4"
"DPP6","NeuronByothersCuffdiff2FCover20","Dpp6"
"DPY30","PreOligoByothersCuffdiff2FCover20","Dpy30"
"DPYSL5","NeuronByothersCuffdiff2FCover20","Dpysl5"
"DRD2","NeuronByothersCuffdiff2FCover20","Drd2"
"DSCAML1","NeuronByothersCuffdiff2FCover20","Dscaml1"
"DSP","NeuronByothersCuffdiff2FCover20","Dsp"
"DTNA","AstroByothersCuffdiff2FCover20","Dtna"
"DTNBP1","NeuronByothersCuffdiff2FCover20","Dtnbp1"
"DTX4","MicrogliByothersCuffdiff2FCover20","Dtx4"
"DUOXA1","MicrogliByothersCuffdiff2FCover20","Duoxa1"
"DUPD1","MicrogliByothersCuffdiff2FCover20","Dupd1"
"DUSP13","MicrogliByothersCuffdiff2FCover20","Dusp13"
"DUSP14","NeuronByothersCuffdiff2FCover20","Dusp14"
"DUSP2","MicrogliByothersCuffdiff2FCover20","Dusp2"
"DUSP27","MicrogliByothersCuffdiff2FCover20","Dusp27"
"DYNC1I1","NeuronByothersCuffdiff2FCover20","Dync1i1"
"DYNC1I2","NeuronByothersCuffdiff2FCover20","Dync1i2"
"DYNC2H1","NeuronByothersCuffdiff2FCover20","Dync2h1"
"DYNLRB2","AstroByothersCuffdiff2FCover20","Dynlrb2"
"DYRK4","MicrogliByothersCuffdiff2FCover20","Dyrk4"
"DYSF","EndotheByothersCuffdiff2FCover20","Dysf"
"DZIP1L","AstroByothersCuffdiff2FCover20","Dzip1l"
"RNASE2","MicrogliByothersCuffdiff2FCover20","Ear6"
"RNASE3","MicrogliByothersCuffdiff2FCover20","Ear6"
"EBF1","EndotheByothersCuffdiff2FCover20","Ebf1"
"EBF2","NeuronByothersCuffdiff2FCover20","Ebf2"
"EBF3","NeuronByothersCuffdiff2FCover20","Ebf3"
"EBI3","MicrogliByothersCuffdiff2FCover20","Ebi3"
"EBNA1BP2","MicrogliByothersCuffdiff2FCover20","Ebna1bp2"
"ECE1","EndotheByothersCuffdiff2FCover20","Ece1"
"ECEL1","NeuronByothersCuffdiff2FCover20","Ecel1"
"ECHDC1","AstroByothersCuffdiff2FCover20","Echdc1"
"ECM1","EndotheByothersCuffdiff2FCover20","Ecm1"
"ECM2","EndotheByothersCuffdiff2FCover20","Ecm2"
"ECSCR","EndotheByothersCuffdiff2FCover20","Ecscr"
"ECT2","EndotheByothersCuffdiff2FCover20","Ect2"
"EDA","AstroByothersCuffdiff2FCover20","Eda"
"EDN3","EndotheByothersCuffdiff2FCover20","Edn3"
"EEF1D","NeuronByothersCuffdiff2FCover20","Eef1d"
"EEF2K","MicrogliByothersCuffdiff2FCover20","Eef2k"
"FAM86B1","EndotheByothersCuffdiff2FCover20","Eef2kmt"
"FAM86C1","EndotheByothersCuffdiff2FCover20","Eef2kmt"
"EEF2KMT","EndotheByothersCuffdiff2FCover20","Eef2kmt"
"FAM86B2","EndotheByothersCuffdiff2FCover20","Eef2kmt"
"EFEMP2","AstroByothersCuffdiff2FCover20","Efemp2"
"EFHD2","MicrogliByothersCuffdiff2FCover20","Efhd2"
"EFNA1","EndotheByothersCuffdiff2FCover20","Efna1"
"EFNA3","NeuronByothersCuffdiff2FCover20","Efna3"
"EFNA5","NeuronByothersCuffdiff2FCover20","Efna5"
"EGFL7","EndotheByothersCuffdiff2FCover20","Egfl7"
"EGFL8","EndotheByothersCuffdiff2FCover20","Egfl8"
"EGFR","AstroByothersCuffdiff2FCover20","Egfr"
"EGR2","MicrogliByothersCuffdiff2FCover20","Egr2"
"EGR3","MicrogliByothersCuffdiff2FCover20","Egr3"
"EHD2","EndotheByothersCuffdiff2FCover20","Ehd2"
"EHD4","MicrogliByothersCuffdiff2FCover20","Ehd4"
"EHMT2","EndotheByothersCuffdiff2FCover20","Ehmt2"
"EIF2AK2","AstroByothersCuffdiff2FCover20","Eif2ak2"
"EIF2B1","NeuronByothersCuffdiff2FCover20","Eif2b1"
"EIF2B2","MyeOligoByothersCuffdiff2FCover20","Eif2b2"
"EIF3D","MyeOligoByothersCuffdiff2FCover20","Eif3d"
"EIF3H","EndotheByothersCuffdiff2FCover20","Eif3h"
"EIF4A3","EndotheByothersCuffdiff2FCover20","Eif4a3"
"EIF4G1","NeuronByothersCuffdiff2FCover20","Eif4g1"
"EIF4G3","AstroByothersCuffdiff2FCover20","Eif4g3"
"EIF5A","MyeOligoByothersCuffdiff2FCover20","Eif5a"
"EIF5B","AstroByothersCuffdiff2FCover20","Eif5b"
"ELAC2","MicrogliByothersCuffdiff2FCover20","Elac2"
"ELAVL2","NeuronByothersCuffdiff2FCover20","Elavl2"
"ELAVL3","NeuronByothersCuffdiff2FCover20","Elavl3"
"ELAVL4","NeuronByothersCuffdiff2FCover20","Elavl4"
"ELF4","MicrogliByothersCuffdiff2FCover20","Elf4"
"ELF5","AstroByothersCuffdiff2FCover20","Elf5"
"ELMO1","MicrogliByothersCuffdiff2FCover20","Elmo1"
"ELMO3","AstroByothersCuffdiff2FCover20","Elmo3"
"ELMOD1","NeuronByothersCuffdiff2FCover20","Elmod1"
"ELOVL2","AstroByothersCuffdiff2FCover20","Elovl2"
"EMCN","EndotheByothersCuffdiff2FCover20","Emcn"
"EMG1","MicrogliByothersCuffdiff2FCover20","Emg1"
"EML2","EndotheByothersCuffdiff2FCover20","Eml2"
"EML5","NeuronByothersCuffdiff2FCover20","Eml5"
"EMP3","MicrogliByothersCuffdiff2FCover20","Emp3"
"ENAH","AstroByothersCuffdiff2FCover20","Enah"
"ENDOU","EndotheByothersCuffdiff2FCover20","Endou"
"ENDOV","EndotheByothersCuffdiff2FCover20","Endov"
"ENG","EndotheByothersCuffdiff2FCover20","Eng"
"ENO2","MicrogliByothersCuffdiff2FCover20","Eno2"
"ENOX2","AstroByothersCuffdiff2FCover20","Enox2"
"ENPEP","EndotheByothersCuffdiff2FCover20","Enpep"
"ENPP1","MyeOligoByothersCuffdiff2FCover20","Enpp1"
"ENPP6","NewOligoByothersCuffdiff2FCover20","Enpp6"
"ENTPD1","MicrogliByothersCuffdiff2FCover20","Entpd1"
"ENTPD2","AstroByothersCuffdiff2FCover20","Entpd2"
"ENTPD5","MicrogliByothersCuffdiff2FCover20","Entpd5"
"ENTPD7","MicrogliByothersCuffdiff2FCover20","Entpd7"
"EOGT","EndotheByothersCuffdiff2FCover20","Eogt"
"EOMES","NeuronByothersCuffdiff2FCover20","Eomes"
"EPB41","NeuronByothersCuffdiff2FCover20","Epb41"
"EPB41L1","NeuronByothersCuffdiff2FCover20","Epb41l1"
"EPB41L3","PreOligoByothersCuffdiff2FCover20","Epb41l3"
"EPCAM","NewOligoByothersCuffdiff2FCover20","Epcam"
"EPHA3","NeuronByothersCuffdiff2FCover20","Epha3"
"EPHA5","NeuronByothersCuffdiff2FCover20","Epha5"
"EPHA6","NeuronByothersCuffdiff2FCover20","Epha6"
"EPHA7","NeuronByothersCuffdiff2FCover20","Epha7"
"EPHA8","NeuronByothersCuffdiff2FCover20","Epha8"
"EPHB1","MyeOligoByothersCuffdiff2FCover20","Ephb1"
"EPHB4","EndotheByothersCuffdiff2FCover20","Ephb4"
"EPHB6","PreOligoByothersCuffdiff2FCover20","Ephb6"
"EPHX1","MyeOligoByothersCuffdiff2FCover20","Ephx1"
"EPHX2","AstroByothersCuffdiff2FCover20","Ephx2"
"EPOR","EndotheByothersCuffdiff2FCover20","Epor"
"EDDM13","EndotheByothersCuffdiff2FCover20","Epp13"
"EPS8","MicrogliByothersCuffdiff2FCover20","Eps8"
"EPS8L2","EndotheByothersCuffdiff2FCover20","Eps8l2"
"EPSTI1","MicrogliByothersCuffdiff2FCover20","Epsti1"
"ERBB2","AstroByothersCuffdiff2FCover20","Erbb2"
"ERC1","NeuronByothersCuffdiff2FCover20","Erc1"
"ERC2","NeuronByothersCuffdiff2FCover20","Erc2"
"ERG","EndotheByothersCuffdiff2FCover20","Erg"
"ERG28","PreOligoByothersCuffdiff2FCover20","Erg28"
"ERGIC2","MyeOligoByothersCuffdiff2FCover20","Ergic2"
"ERICH1","PreOligoByothersCuffdiff2FCover20","Erich1"
"ERMAP","MicrogliByothersCuffdiff2FCover20","Ermap"
"ERMN","MyeOligoByothersCuffdiff2FCover20","Ermn"
"ESAM","EndotheByothersCuffdiff2FCover20","Esam"
"ESPL1","MicrogliByothersCuffdiff2FCover20","Espl1"
"ETFA","MicrogliByothersCuffdiff2FCover20","Etfa"
"KIAA1217","EndotheByothersCuffdiff2FCover20","Etl4"
"ETS1","EndotheByothersCuffdiff2FCover20","Ets1"
"ETV4","PreOligoByothersCuffdiff2FCover20","Etv4"
"EVA1A","MicrogliByothersCuffdiff2FCover20","Eva1a"
"EVC","AstroByothersCuffdiff2FCover20","Evc"
"EVC2","AstroByothersCuffdiff2FCover20","Evc2"
"EVI2A","MicrogliByothersCuffdiff2FCover20","Evi2a"
"EVL","MicrogliByothersCuffdiff2FCover20","Evl"
"EWSR1","NeuronByothersCuffdiff2FCover20","Ewsr1"
"EXD1","AstroByothersCuffdiff2FCover20","Exd1"
"EXOC1","NewOligoByothersCuffdiff2FCover20","Exoc1"
"EXOC3L1","EndotheByothersCuffdiff2FCover20","Exoc3l"
"EXOC3L4","EndotheByothersCuffdiff2FCover20","Exoc3l4"
"EXTL2","MicrogliByothersCuffdiff2FCover20","Extl2"
"EXTL3","AstroByothersCuffdiff2FCover20","Extl3"
"EYA2","MyeOligoByothersCuffdiff2FCover20","Eya2"
"F11R","MicrogliByothersCuffdiff2FCover20","F11r"
"F13A1","MicrogliByothersCuffdiff2FCover20","F13a1"
"F2RL3","EndotheByothersCuffdiff2FCover20","F2rl3"
"F3","AstroByothersCuffdiff2FCover20","F3"
"F9","MicrogliByothersCuffdiff2FCover20","F9"
"FA2H","MyeOligoByothersCuffdiff2FCover20","Fa2h"
"FABP7","AstroByothersCuffdiff2FCover20","Fabp7"
"FAM107A","AstroByothersCuffdiff2FCover20","Fam107a"
"FAM110A","MicrogliByothersCuffdiff2FCover20","Fam110a"
"FAM114A2","MyeOligoByothersCuffdiff2FCover20","Fam114a2"
"FAM118A","EndotheByothersCuffdiff2FCover20","Fam118a"
"FAM118B","NewOligoByothersCuffdiff2FCover20","Fam118b"
"FAM124A","NeuronByothersCuffdiff2FCover20","Fam124a"
"FAM124B","EndotheByothersCuffdiff2FCover20","Fam124b"
"FAM129A","EndotheByothersCuffdiff2FCover20","Fam129a"
"FAM131C","NeuronByothersCuffdiff2FCover20","Fam131c"
"FAM13C","AstroByothersCuffdiff2FCover20","Fam13c"
"FAM149B1","MyeOligoByothersCuffdiff2FCover20","Fam149b"
"FAM160A2","MyeOligoByothersCuffdiff2FCover20","Fam160a2"
"FAM167B","MicrogliByothersCuffdiff2FCover20","Fam167b"
"FAM178B","MyeOligoByothersCuffdiff2FCover20","Fam178b"
"FAM180A","PreOligoByothersCuffdiff2FCover20","Fam180a"
"FAM181A","AstroByothersCuffdiff2FCover20","Fam181a"
"FAM183A","NeuronByothersCuffdiff2FCover20","Fam183b"
"FAM184A","NeuronByothersCuffdiff2FCover20","Fam184a"
"INSYN2","NeuronByothersCuffdiff2FCover20","Fam196a"
"FAM19A1","MicrogliByothersCuffdiff2FCover20","Fam19a1"
"FAM19A4","PreOligoByothersCuffdiff2FCover20","Fam19a4"
"FAM20A","AstroByothersCuffdiff2FCover20","Fam20a"
"FAM216B","AstroByothersCuffdiff2FCover20","Fam216b"
"FAM222A","EndotheByothersCuffdiff2FCover20","Fam222a"
"FAM228B","AstroByothersCuffdiff2FCover20","Fam228b"
"FAM49B","NeuronByothersCuffdiff2FCover20","Fam49b"
"FAM69A","MyeOligoByothersCuffdiff2FCover20","Fam69a"
"FAM81A","MicrogliByothersCuffdiff2FCover20","Fam81a"
"FAM83G","MicrogliByothersCuffdiff2FCover20","Fam83g"
"FAM92A","NeuronByothersCuffdiff2FCover20","Fam92a"
"FAR1","NewOligoByothersCuffdiff2FCover20","Far1"
"FAR2","EndotheByothersCuffdiff2FCover20","Far2"
"FASTK","NewOligoByothersCuffdiff2FCover20","Fastk"
"FAT3","NeuronByothersCuffdiff2FCover20","Fat3"
"FBLIM1","MicrogliByothersCuffdiff2FCover20","Fblim1"
"FBLN2","PreOligoByothersCuffdiff2FCover20","Fbln2"
"FBLN5","EndotheByothersCuffdiff2FCover20","Fbln5"
"FBXO3","MicrogliByothersCuffdiff2FCover20","Fbxo3"
"FBXO4","AstroByothersCuffdiff2FCover20","Fbxo4"
"FBXO8","NeuronByothersCuffdiff2FCover20","Fbxo8"
"FBXW4","MicrogliByothersCuffdiff2FCover20","Fbxw4"
"FCER1G","MicrogliByothersCuffdiff2FCover20","Fcer1g"
"FCGR1B","MicrogliByothersCuffdiff2FCover20","Fcgr1"
"FCGR1A","MicrogliByothersCuffdiff2FCover20","Fcgr1"
"FCGR2C","MicrogliByothersCuffdiff2FCover20","Fcgr2b"
"FCGR2B","MicrogliByothersCuffdiff2FCover20","Fcgr2b"
"FCGR2A","MicrogliByothersCuffdiff2FCover20","Fcgr2b"
"FCGR3B","MicrogliByothersCuffdiff2FCover20","Fcgr4"
"FCGR3A","MicrogliByothersCuffdiff2FCover20","Fcgr4"
"FCHO2","MicrogliByothersCuffdiff2FCover20","Fcho2"
"FCMR","MicrogliByothersCuffdiff2FCover20","Fcmr"
"FCRL1","MicrogliByothersCuffdiff2FCover20","Fcrl1"
"FERMT3","MicrogliByothersCuffdiff2FCover20","Fermt3"
"FES","MicrogliByothersCuffdiff2FCover20","Fes"
"FGD2","MicrogliByothersCuffdiff2FCover20","Fgd2"
"FGD3","MicrogliByothersCuffdiff2FCover20","Fgd3"
"FGD5","EndotheByothersCuffdiff2FCover20","Fgd5"
"FGF14","NeuronByothersCuffdiff2FCover20","Fgf14"
"FGF9","NeuronByothersCuffdiff2FCover20","Fgf9"
"FGFBP1","EndotheByothersCuffdiff2FCover20","Fgfbp1"
"FGFBP3","AstroByothersCuffdiff2FCover20","Fgfbp3"
"FGFR1","AstroByothersCuffdiff2FCover20","Fgfr1"
"FGFR2","AstroByothersCuffdiff2FCover20","Fgfr2"
"FGFR3","AstroByothersCuffdiff2FCover20","Fgfr3"
"FGGY","MicrogliByothersCuffdiff2FCover20","Fggy"
"FGR","MicrogliByothersCuffdiff2FCover20","Fgr"
"FHAD1","MicrogliByothersCuffdiff2FCover20","Fhad1"
"FHDC1","PreOligoByothersCuffdiff2FCover20","Fhdc1"
"FHL1","MyeOligoByothersCuffdiff2FCover20","Fhl1"
"FHOD1","MicrogliByothersCuffdiff2FCover20","Fhod1"
"FIBCD1","NeuronByothersCuffdiff2FCover20","Fibcd1"
"FIBIN","NeuronByothersCuffdiff2FCover20","Fibin"
"FILIP1","EndotheByothersCuffdiff2FCover20","Filip1"
"FKBP3","NewOligoByothersCuffdiff2FCover20","Fkbp3"
"FKBP4","MicrogliByothersCuffdiff2FCover20","Fkbp4"
"FLNA","MicrogliByothersCuffdiff2FCover20","Flna"
"FLOT1","NewOligoByothersCuffdiff2FCover20","Flot1"
"FLT1","EndotheByothersCuffdiff2FCover20","Flt1"
"FLT4","EndotheByothersCuffdiff2FCover20","Flt4"
"FLVCR2","EndotheByothersCuffdiff2FCover20","Flvcr2"
"FMN1","NeuronByothersCuffdiff2FCover20","Fmn1"
"FMNL1","MicrogliByothersCuffdiff2FCover20","Fmnl1"
"FMNL3","MicrogliByothersCuffdiff2FCover20","Fmnl3"
"FMO1","AstroByothersCuffdiff2FCover20","Fmo1"
"FN1","EndotheByothersCuffdiff2FCover20","Fn1"
"FNBP1","NewOligoByothersCuffdiff2FCover20","Fnbp1"
"FNBP1L","NeuronByothersCuffdiff2FCover20","Fnbp1l"
"FNDC1","PreOligoByothersCuffdiff2FCover20","Fndc1"
"FNDC3A","MicrogliByothersCuffdiff2FCover20","Fndc3a"
"FNDC7","MicrogliByothersCuffdiff2FCover20","Fndc7"
"FOCAD","MicrogliByothersCuffdiff2FCover20","Focad"
"FOLR2","MicrogliByothersCuffdiff2FCover20","Folr2"
"FOXC1","EndotheByothersCuffdiff2FCover20","Foxc1"
"FOXF2","EndotheByothersCuffdiff2FCover20","Foxf2"
"FOXL2","EndotheByothersCuffdiff2FCover20","Foxl2"
"FOXN3","MicrogliByothersCuffdiff2FCover20","Foxn3"
"FOXQ1","EndotheByothersCuffdiff2FCover20","Foxq1"
"FPR1","MicrogliByothersCuffdiff2FCover20","Fpr1"
"FRAS1","AstroByothersCuffdiff2FCover20","Fras1"
"FREM2","AstroByothersCuffdiff2FCover20","Frem2"
"FRMD4A","MicrogliByothersCuffdiff2FCover20","Frmd4a"
"FRMD4B","AstroByothersCuffdiff2FCover20","Frmd4b"
"FRMPD4","NeuronByothersCuffdiff2FCover20","Frmpd4"
"FRY","EndotheByothersCuffdiff2FCover20","Fry"
"FRYL","NewOligoByothersCuffdiff2FCover20","Fryl"
"FTSJ1","NewOligoByothersCuffdiff2FCover20","Ftsj1"
"FUNDC2","MicrogliByothersCuffdiff2FCover20","Fundc2"
"FURIN","MicrogliByothersCuffdiff2FCover20","Furin"
"FXYD1","AstroByothersCuffdiff2FCover20","Fxyd1"
"FYB1","MicrogliByothersCuffdiff2FCover20","Fyb"
"FYCO1","MicrogliByothersCuffdiff2FCover20","Fyco1"
"FYN","NewOligoByothersCuffdiff2FCover20","Fyn"
"FZD10","AstroByothersCuffdiff2FCover20","Fzd10"
"FZD2","AstroByothersCuffdiff2FCover20","Fzd2"
"FZD6","EndotheByothersCuffdiff2FCover20","Fzd6"
"G6PC3","MyeOligoByothersCuffdiff2FCover20","G6pc3"
"G6PD","MyeOligoByothersCuffdiff2FCover20","G6pdx"
"GABBR1","AstroByothersCuffdiff2FCover20","Gabbr1"
"GABPB1","MicrogliByothersCuffdiff2FCover20","Gabpb1"
"GABRA2","NeuronByothersCuffdiff2FCover20","Gabra2"
"GABRA4","AstroByothersCuffdiff2FCover20","Gabra4"
"GABRA5","NeuronByothersCuffdiff2FCover20","Gabra5"
"GABRB1","AstroByothersCuffdiff2FCover20","Gabrb1"
"GABRB3","NeuronByothersCuffdiff2FCover20","Gabrb3"
"GABRD","MicrogliByothersCuffdiff2FCover20","Gabrd"
"GABRG2","NeuronByothersCuffdiff2FCover20","Gabrg2"
"GAD1","NeuronByothersCuffdiff2FCover20","Gad1"
"GAD2","NeuronByothersCuffdiff2FCover20","Gad2"
"GAK","NewOligoByothersCuffdiff2FCover20","Gak"
"GAL3ST1","MicrogliByothersCuffdiff2FCover20","Gal3st1"
"GAL3ST4","MicrogliByothersCuffdiff2FCover20","Gal3st4"
"GALNT11","MicrogliByothersCuffdiff2FCover20","Galnt11"
"GALNT12","MicrogliByothersCuffdiff2FCover20","Galnt12"
"GALNT15","EndotheByothersCuffdiff2FCover20","Galnt15"
"GALNT3","PreOligoByothersCuffdiff2FCover20","Galnt3"
"GALNTL6","NeuronByothersCuffdiff2FCover20","Galntl6"
"GAMT","MyeOligoByothersCuffdiff2FCover20","Gamt"
"GAP43","NeuronByothersCuffdiff2FCover20","Gap43"
"GARNL3","NeuronByothersCuffdiff2FCover20","Garnl3"
"GAS2","MyeOligoByothersCuffdiff2FCover20","Gas2"
"GATA2","EndotheByothersCuffdiff2FCover20","Gata2"
"GATA3","EndotheByothersCuffdiff2FCover20","Gata3"
"GATAD2A","MicrogliByothersCuffdiff2FCover20","Gatad2a"
"GBGT1","MicrogliByothersCuffdiff2FCover20","Gbgt1"
"GBP6","EndotheByothersCuffdiff2FCover20","Gbp4"
"GCGR","NeuronByothersCuffdiff2FCover20","Gcgr"
"GCN1","MicrogliByothersCuffdiff2FCover20","Gcn1l1"
"GCNT1","MicrogliByothersCuffdiff2FCover20","Gcnt1"
"GCNT2","EndotheByothersCuffdiff2FCover20","Gcnt2"
"GCNT4","AstroByothersCuffdiff2FCover20","Gcnt4"
"GDAP2","MicrogliByothersCuffdiff2FCover20","Gdap2"
"GDF15","MicrogliByothersCuffdiff2FCover20","Gdf15"
"GDF5","NeuronByothersCuffdiff2FCover20","Gdf5"
"GDPD2","AstroByothersCuffdiff2FCover20","Gdpd2"
"GDPD3","EndotheByothersCuffdiff2FCover20","Gdpd3"
"GEMIN7","MicrogliByothersCuffdiff2FCover20","Gemin7"
"GFAP","AstroByothersCuffdiff2FCover20","Gfap"
"GFM2","MicrogliByothersCuffdiff2FCover20","Gfm2"
"GFRA4","MyeOligoByothersCuffdiff2FCover20","Gfra4"
"GGA3","MyeOligoByothersCuffdiff2FCover20","Gga3"
"GGACT","MyeOligoByothersCuffdiff2FCover20","Ggact"
"GGT5","MicrogliByothersCuffdiff2FCover20","Ggt5"
"GGT7","MyeOligoByothersCuffdiff2FCover20","Ggt7"
"GIGYF2","AstroByothersCuffdiff2FCover20","Gigyf2"
"GIMAP1","EndotheByothersCuffdiff2FCover20","Gimap1"
"GIMAP4","EndotheByothersCuffdiff2FCover20","Gimap4"
"GIMAP1-GIMAP5","EndotheByothersCuffdiff2FCover20","Gimap5"
"GIMAP5","EndotheByothersCuffdiff2FCover20","Gimap5"
"GIMAP6","EndotheByothersCuffdiff2FCover20","Gimap6"
"GIMAP8","EndotheByothersCuffdiff2FCover20","Gimap8"
"GIN1","AstroByothersCuffdiff2FCover20","Gin1"
"GIT1","MyeOligoByothersCuffdiff2FCover20","Git1"
"GJA1","AstroByothersCuffdiff2FCover20","Gja1"
"GJA4","EndotheByothersCuffdiff2FCover20","Gja4"
"GJA5","EndotheByothersCuffdiff2FCover20","Gja5"
"GJB1","MyeOligoByothersCuffdiff2FCover20","Gjb1"
"GJB6","AstroByothersCuffdiff2FCover20","Gjb6"
"GJC1","EndotheByothersCuffdiff2FCover20","Gjc1"
"GJD2","NeuronByothersCuffdiff2FCover20","Gjd2"
"GK","AstroByothersCuffdiff2FCover20","Gk"
"GK3P","AstroByothersCuffdiff2FCover20","Gk"
"GKN3P","EndotheByothersCuffdiff2FCover20","Gkn3"
"GLG1","MicrogliByothersCuffdiff2FCover20","Glg1"
"GLI1","AstroByothersCuffdiff2FCover20","Gli1"
"GLI2","AstroByothersCuffdiff2FCover20","Gli2"
"GLI3","AstroByothersCuffdiff2FCover20","Gli3"
"GLIPR1","MicrogliByothersCuffdiff2FCover20","Glipr1"
"GLIS3","AstroByothersCuffdiff2FCover20","Glis3"
"GLRA2","NeuronByothersCuffdiff2FCover20","Glra2"
"GLRA4","MyeOligoByothersCuffdiff2FCover20","Glra4"
"GLUD2","AstroByothersCuffdiff2FCover20","Glud1"
"GLUD1","AstroByothersCuffdiff2FCover20","Glud1"
"C4orf50","NeuronByothersCuffdiff2FCover20","Gm1043"
"C1orf56","MicrogliByothersCuffdiff2FCover20","Gm128"
"C11orf96","MicrogliByothersCuffdiff2FCover20","Gm13889"
"C10orf105","AstroByothersCuffdiff2FCover20","Gm17455"
"DNAJC25-GNG10","MicrogliByothersCuffdiff2FCover20","Gm20503"
"SNORA48","NeuronByothersCuffdiff2FCover20","Gm25117"
"SNORA48B","NeuronByothersCuffdiff2FCover20","Gm25117"
"BTN3A1","EndotheByothersCuffdiff2FCover20","Gm36028"
"ARFIP1","NeuronByothersCuffdiff2FCover20","Gm37240"
"GPC2","MicrogliByothersCuffdiff2FCover20","Gm43720"
"WDR74","AstroByothersCuffdiff2FCover20","Gm45736"
"PDE2A","EndotheByothersCuffdiff2FCover20","Gm45837"
"C1orf127","MicrogliByothersCuffdiff2FCover20","Gm572"
"RPL17-C18orf32","AstroByothersCuffdiff2FCover20","Gm6133"
"CXorf65","EndotheByothersCuffdiff2FCover20","Gm614"
"FAM237B","NeuronByothersCuffdiff2FCover20","Gm8773"
"KIAA2012","AstroByothersCuffdiff2FCover20","Gm973"
"GMFG","MicrogliByothersCuffdiff2FCover20","Gmfg"
"GMIP","MicrogliByothersCuffdiff2FCover20","Gmip"
"GNA15","MicrogliByothersCuffdiff2FCover20","Gna15"
"GNAO1","AstroByothersCuffdiff2FCover20","Gnao1"
"GNAS","NeuronByothersCuffdiff2FCover20","Gnas"
"GNB1","MicrogliByothersCuffdiff2FCover20","Gnb1"
"GNB2","MyeOligoByothersCuffdiff2FCover20","Gnb2"
